Week,Team,Tested by QA,Total PRs,Manual PR %
2026-W08,DC1,3,10,30.00
2026-W08,DC2,8,25,32.00
2026-W08,DC3,6,19,31.58
2026-W08,AI1,10,31,32.26
2026-W08,AI2,3,17,17.65
2026-W08,AI3,4,22,18.18
2026-W08,AI4,17,36,47.22
2026-W08,AI5,9,25,36.00
2026-W08,AI6,1,17,5.88
2026-W08,Process 1,4,30,13.33
2026-W08,Process 2,3,14,21.43
2026-W08,Process 3,11,30,36.67
2026-W08,Enterprise Architecture,0,13,0.00
2026-W08,Intelligent Feature Adoption,3,20,15.00
2026-W08,License Request/Grants,6,31,19.35
2026-W08,New Enterprise User,3,17,17.65
2026-W08,Growth,1,13,7.69
2026-W08,Planning 1,4,35,11.43
2026-W08,Planning 2,11,25,44.00
2026-W08,Cloud 1,6,37,16.22
2026-W08,Cloud 2,8,35,22.86
2026-W08,Intelligent Interface 1,2,11,18.18
2026-W08,Intelligent Interface 2,2,12,16.67
2026-W08,Intelligent Interface 3,17,36,47.22
2026-W08,Intelligent Interface 4,9,32,28.13
2026-W08,UFO,2,23,8.70
2026-W08,Papercuts,10,35,28.57
2026-W08,Core Support,0,18,0.00
2026-W08,Change Management,3,12,25.00
2026-W08,Templates,16,33,48.48
2026-W08,Accelerator Platform 1,1,29,3.45
2026-W08,Accelerator Platform 2,6,31,19.35
2026-W09,DC1,1,21,4.76
2026-W09,DC2,7,36,19.44
2026-W09,DC3,2,23,8.70
2026-W09,AI1,5,10,50.00
2026-W09,AI2,9,35,25.71
2026-W09,AI3,12,32,37.50
2026-W09,AI4,8,26,30.77
2026-W09,AI5,8,31,25.81
2026-W09,AI6,12,35,34.29
2026-W09,Process 1,1,17,5.88
2026-W09,Process 2,3,11,27.27
2026-W09,Process 3,0,12,0.00
2026-W09,Enterprise Architecture,10,39,25.64
2026-W09,Intelligent Feature Adoption,5,12,41.67
2026-W09,License Request/Grants,12,39,30.77
2026-W09,New Enterprise User,1,36,2.78
2026-W09,Growth,3,22,13.64
2026-W09,Planning 1,17,39,43.59
2026-W09,Planning 2,3,10,30.00
2026-W09,Cloud 1,3,11,27.27
2026-W09,Cloud 2,3,30,10.00
2026-W09,Intelligent Interface 1,0,15,0.00
2026-W09,Intelligent Interface 2,2,27,7.41
2026-W09,Intelligent Interface 3,2,14,14.29
2026-W09,Intelligent Interface 4,1,22,4.55
2026-W09,UFO,5,17,29.41
2026-W09,Papercuts,5,14,35.71
2026-W09,Core Support,13,34,38.24
2026-W09,Change Management,4,40,10.00
2026-W09,Templates,6,23,26.09
2026-W09,Accelerator Platform 1,0,34,0.00
2026-W09,Accelerator Platform 2,10,25,40.00
2026-W10,DC1,9,27,33.33
2026-W10,DC2,9,28,32.14
2026-W10,DC3,4,22,18.18
2026-W10,AI1,3,11,27.27
2026-W10,AI2,2,29,6.90
2026-W10,AI3,2,14,14.29
2026-W10,AI4,1,16,6.25
2026-W10,AI5,9,27,33.33
2026-W10,AI6,0,10,0.00
2026-W10,Process 1,7,40,17.50
2026-W10,Process 2,12,25,48.00
2026-W10,Process 3,6,16,37.50
2026-W10,Enterprise Architecture,7,19,36.84
2026-W10,Intelligent Feature Adoption,7,25,28.00
2026-W10,License Request/Grants,17,40,42.50
2026-W10,New Enterprise User,9,25,36.00
2026-W10,Growth,3,21,14.29
2026-W10,Planning 1,2,28,7.14
2026-W10,Planning 2,3,19,15.79
2026-W10,Cloud 1,7,32,21.88
2026-W10,Cloud 2,16,35,45.71
2026-W10,Intelligent Interface 1,0,21,0.00
2026-W10,Intelligent Interface 2,9,21,42.86
2026-W10,Intelligent Interface 3,3,23,13.04
2026-W10,Intelligent Interface 4,11,35,31.43
2026-W10,UFO,2,13,15.38
2026-W10,Papercuts,1,11,9.09
2026-W10,Core Support,11,24,45.83
2026-W10,Change Management,1,14,7.14
2026-W10,Templates,1,37,2.70
